#alt[m],rho[g/cm^3],thick[g/cm^2]
661,1.15735E-03,9.54651E+02
662,1.15722E-03,9.54535E+02
663,1.15710E-03,9.54419E+02
664,1.15698E-03,9.54304E+02
665,1.15686E-03,9.54188E+02
666,1.15674E-03,9.54072E+02
667,1.15662E-03,9.53957E+02
668,1.15650E-03,9.53841E+02
669,1.15638E-03,9.53725E+02
670,1.15625E-03,9.53610E+02
671,1.15613E-03,9.53494E+02
672,1.15601E-03,9.53379E+02
673,1.15589E-03,9.53263E+02
674,1.15577E-03,9.53147E+02
675,1.15565E-03,9.53032E+02
676,1.15553E-03,9.52916E+02
677,1.15541E-03,9.52801E+02
678,1.15529E-03,9.52685E+02
679,1.15516E-03,9.52570E+02
680,1.15504E-03,9.52454E+02
681,1.15492E-03,9.52339E+02
682,1.15480E-03,9.52223E+02
683,1.15468E-03,9.52108E+02
684,1.15456E-03,9.51992E+02
685,1.15444E-03,9.51877E+02
686,1.15432E-03,9.51761E+02
687,1.15420E-03,9.51646E+02
688,1.15408E-03,9.51530E+02
689,1.15395E-03,9.51415E+02
690,1.15383E-03,9.51300E+02
691,1.15371E-03,9.51184E+02
692,1.15359E-03,9.51069E+02
693,1.15347E-03,9.50953E+02
694,1.15335E-03,9.50838E+02
695,1.15323E-03,9.50723E+02
696,1.15311E-03,9.50607E+02
697,1.15299E-03,9.50492E+02
698,1.15287E-03,9.50377E+02
699,1.15275E-03,9.50262E+02
700,1.15262E-03,9.50146E+02
701,1.15250E-03,9.50031E+02
702,1.15238E-03,9.49916E+02
703,1.15226E-03,9.49801E+02
704,1.15214E-03,9.49685E+02
705,1.15202E-03,9.49570E+02
706,1.15190E-03,9.49455E+02
707,1.15178E-03,9.49340E+02
708,1.15166E-03,9.49224E+02
709,1.15154E-03,9.49109E+02
710,1.15142E-03,9.48994E+02
711,1.15130E-03,9.48879E+02
712,1.15118E-03,9.48764E+02
713,1.15106E-03,9.48649E+02
714,1.15094E-03,9.48534E+02
715,1.15081E-03,9.48419E+02
716,1.15069E-03,9.48304E+02
717,1.15057E-03,9.48188E+02
718,1.15045E-03,9.48073E+02
719,1.15033E-03,9.47958E+02
720,1.15021E-03,9.47843E+02
721,1.15009E-03,9.47728E+02
722,1.14997E-03,9.47613E+02
723,1.14985E-03,9.47498E+02
724,1.14973E-03,9.47383E+02
725,1.14961E-03,9.47268E+02
726,1.14949E-03,9.47153E+02
727,1.14937E-03,9.47038E+02
728,1.14925E-03,9.46923E+02
729,1.14913E-03,9.46809E+02
730,1.14901E-03,9.46694E+02
731,1.14889E-03,9.46579E+02
732,1.14877E-03,9.46464E+02
733,1.14865E-03,9.46349E+02
734,1.14853E-03,9.46234E+02
735,1.14840E-03,9.46119E+02
736,1.14828E-03,9.46004E+02
737,1.14816E-03,9.45890E+02
738,1.14804E-03,9.45775E+02
739,1.14792E-03,9.45660E+02
740,1.14780E-03,9.45545E+02
741,1.14768E-03,9.45430E+02
742,1.14756E-03,9.45316E+02
743,1.14744E-03,9.45201E+02
744,1.14732E-03,9.45086E+02
745,1.14720E-03,9.44971E+02
746,1.14708E-03,9.44857E+02
747,1.14696E-03,9.44742E+02
748,1.14684E-03,9.44627E+02
749,1.14672E-03,9.44513E+02
750,1.14660E-03,9.44398E+02
751,1.14648E-03,9.44283E+02
752,1.14636E-03,9.44169E+02
753,1.14624E-03,9.44054E+02
754,1.14612E-03,9.43939E+02
755,1.14600E-03,9.43825E+02
756,1.14588E-03,9.43710E+02
757,1.14576E-03,9.43596E+02
758,1.14564E-03,9.43481E+02
759,1.14552E-03,9.43366E+02
760,1.14540E-03,9.43252E+02
761,1.14528E-03,9.43137E+02
762,1.14516E-03,9.43023E+02
763,1.14504E-03,9.42908E+02
764,1.14492E-03,9.42794E+02
765,1.14480E-03,9.42679E+02
766,1.14468E-03,9.42565E+02
767,1.14456E-03,9.42450E+02
768,1.14444E-03,9.42336E+02
769,1.14432E-03,9.42221E+02
770,1.14420E-03,9.42107E+02
